block,mainplot,burn,planting,nurse_cov,SP_num,SP_cov,SP_fl,EG_num,EG_cov,PS_num,PS_cov,PS_fl,AM_num,AM_cov,AM_fl,LB_num,LB_cov,EL_num,EL_cov,EL_fl,grass_total,forb_total,weed_cov,bare_cov,litter_cov
1,MP1,U,F,95,25,70,,8,20,0,0,,1,1,,5,20,,,,,,,,
1,MP1,U,C,0,25,75,,7,15,1,0.5,,11,7,,0,0,,,,,,,,
1,MP1,U,R,25,9,15,,2,5,1,1,,0,0,,0,0,,,,,,,,
1,MP2,B,C,0,25,45,,1,1,0,0,,10,4,,2,6,,,,,,,,
1,MP2,B,F,90,20,50,,5,3,0,0,,3,1,,5,25,,,,,,,,
1,MP2,B,R,10,15,30,,9,15,15,10,,1,0.5,,0,0,,,,,,,,
2,MP3,B,R,6,,,,,,,,,0,0,,0,0,,,,,,,,
2,MP3,B,C,0,,,,,,,,,7,3,,0,0,,,,,,,,
2,MP3,B,F,,,,,,,,,,5,11,,6,40,,,,,,,,
2,MP4,U,F,,,,,,,,,,0,0,,3,25,,,,,,,,
2,MP4,U,R,,,,,,,,,,0,0,,0,0,,,,,,,,
2,MP4,U,C,0,,,,,,,,,4,1,,0,0,,,,,,,,
3,MP5,U,C,0,,,,,,,,,6,5,,5,60,,,,,,,,
3,MP5,U,R,,,,,,,,,,2,1,,0,0,,,,,,,,
3,MP5,U,F,,,,,,,,,,3,1,,0,0,,,,,,,,
3,MP6,B,F,,,,,,,,,,2,0.5,,1,3,,,,,,,,
3,MP6,B,R,,,,,,,,,,0,0,,0,0,,,,,,,,
3,MP6,B,C,0,,,,,,,,,1,0.5,,3,20,,,,,,,,
4,MP7,U,C,0,,,,,,,,,5,3,,0,0,,,,,,,,
4,MP7,U,F,,,,,,,,,,3,1,,2,4,,,,,,,,
4,MP7,U,R,,,,,,,,,,1,0.5,,0,0,,,,,,,,
4,MP8,B,C,0,,,,,,,,,16,6,,1,2,,,,,,,,
4,MP8,B,R,,,,,,,,,,1,0.5,,0,0,,,,,,,,
4,MP8,B,F,,,,,,,,,,1,0.5,,0,0,,,,,,,,
5,MP9,B,R,,,,,,,,,,1,0.5,,0,0,,,,,,,,
5,MP9,B,F,,,,,,,,,,2,0.5,,7,45,,,,,,,,
5,MP9,B,C,0,,,,,,,,,7,4,,3,25,,,,,,,,
5,MP10,U,C,0,,,,,,,,,5,1,,1,5,,,,,,,,
5,MP10,U,F,,,,,,,,,,1,0.5,,1,2,,,,,,,,
5,MP10,U,R,,,,,,,,,,0,0,,0,0,,,,,,,,
6,MP11,B,R,,,,,,,,,,,,,,,,,,,,,,
6,MP11,B,F,,,,,,,,,,,,,,,,,,,,,,
6,MP11,B,C,0,,,,,,,,,,,,,,,,,,,,,
6,MP12,U,C,0,,,,,,,,,,,,,,,,,,,,,
6,MP12,U,R,,,,,,,,,,,,,,,,,,,,,,
6,MP12,U,F,,,,,,,,,,,,,,,,,,,,,,
7,MP13,U,F,,,,,,,,,,,,,,,,,,,,,,
7,MP13,U,R,,,,,,,,,,,,,,,,,,,,,,
7,MP13,U,C,0,,,,,,,,,,,,,,,,,,,,,
7,MP14,B,F,,,,,,,,,,,,,,,,,,,,,,
7,MP14,B,C,0,,,,,,,,,,,,,,,,,,,,,
7,MP14,B,R,,,,,,,,,,,,,,,,,,,,,,
8,MP15,U,C,0,,,,,,,,,,,,,,,,,,,,,
8,MP15,U,F,,,,,,,,,,,,,,,,,,,,,,
8,MP15,U,R,,,,,,,,,,,,,,,,,,,,,,
8,MP16,B,R,,,,,,,,,,,,,,,,,,,,,,
8,MP16,B,C,0,,,,,,,,,,,,,,,,,,,,,
8,MP16,B,F,,,,,,,,,,,,,,,,,,,,,,
9,MP17,B,R,,,,,,,,,,,,,,,,,,,,,,
9,MP17,B,F,,,,,,,,,,,,,,,,,,,,,,
9,MP17,B,C,0,,,,,,,,,,,,,,,,,,,,,
9,MP18,U,F,,,,,,,,,,,,,,,,,,,,,,
9,MP18,U,C,0,,,,,,,,,,,,,,,,,,,,,
9,MP18,U,R,,,,,,,,,,,,,,,,,,,,,,
10,MP19,B,R,,,,,,,,,,,,,,,,,,,,,,
10,MP19,B,F,,,,,,,,,,,,,,,,,,,,,,
10,MP19,B,C,0,,,,,,,,,,,,,,,,,,,,,
10,MP20,U,C,0,,,,,,,,,,,,,,,,,,,,,
10,MP20,U,R,,,,,,,,,,,,,,,,,,,,,,
10,MP20,U,F,,,,,,,,,,,,,,,,,,,,,,
